,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,-additional
Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,-9999
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,20,16:08,brownco02
2,Travis Dermott,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,25,16:45,dermotr01
3,Jake Gardiner,0,1,1,2,0,0,0,0,0,1,0,0,0,,26,20:31,gardija01
4,Frederik Gauthier,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,11,7:49,gauthfr01
5,Ron Hainsey,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,28,20:42,hainsro01
6,Andreas Johnsson,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,21,15:36,johnsan01
7,Nazem Kadri,0,1,1,0,2,0,0,0,0,0,1,0,2,0.0,19,15:48,kadrina01
8,Kasperi Kapanen,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,23,14:05,kapanka01
9,Pär Lindholm,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,9:40,lindhpa01
10,Patrick Marleau,0,0,0,-2,0,0,0,0,0,0,0,0,0,,21,16:00,marlepa01
11,Mitch Marner,1,2,3,1,0,1,0,0,1,1,1,0,2,50.0,25,22:23,marnemi01
12,Auston Matthews,0,1,1,-1,0,0,0,0,0,1,0,0,0,,22,16:46,matthau01
13,Trevor Moore,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,12,8:08,mooretr01
14,William Nylander,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,20,14:17,nylanwi01
15,Igor Ozhiganov,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,16:47,ozhigig01
16,Morgan Rielly,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,28,21:19,riellmo01
17,John Tavares,2,0,2,1,0,1,1,0,0,0,0,0,5,40.0,24,19:35,tavarjo01
18,Nikita Zaitsev,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,21:41,zaitsni01
19,Garret Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00,sparkga01
,TOTAL,4,7,11,,6,3,1,0,,,,,29,13.8,,,-9999
