Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,21,14:20
2,Travis Dermott,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,23,17:39
3,Jake Gardiner,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,26,22:23
4,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:15
5,Ron Hainsey,0,1,1,0,0,0,0,0,0,1,0,0,0,,22,15:02
6,Andreas Johnsson,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,23,14:00
7,Nazem Kadri,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,21:07
8,Kasperi Kapanen,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,14:44
9,Pär Lindholm,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,12,8:39
10,Patrick Marleau,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,17:10
11,Mitch Marner,2,0,2,1,0,2,0,0,0,0,0,0,9,22.2,24,24:06
12,Auston Matthews,0,1,1,-1,0,0,0,0,0,1,0,0,6,0.0,23,20:28
13,Trevor Moore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:48
14,William Nylander,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,23,14:15
15,Igor Ozhiganov,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:24
16,Morgan Rielly,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,29,25:36
17,John Tavares,0,2,2,2,2,0,0,0,0,2,0,0,6,0.0,24,22:07
18,Nikita Zaitsev,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,17:54
19,Michael Hutchinson,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,57:03
